ts,humidity1,humidity2,humidity3,humidity4,humidity5,humidity6,humidity7,humidity8,temperature1,temperature2,temperature3,temperature4,temperature5,temperature6,temperature7,temperature8
2024-04-07 00:02,40.76,43.08,48.83,51.82,34.04,41.72,46.7,53.8,18.29,17.3,15.88,14.83,20.55,17.59,15.45,15.6
2024-04-07 00:04,41.06,43.28,48.87,52.57,34.08,42.02,46.83,53.82,18.2,17.27,15.8,14.5,20.55,17.53,15.34,15.54
2024-04-07 00:06,40.88,42.93,48.96,53.26,33.95,41.62,46.95,53.84,18.17,17.33,15.7,14.22,20.53,17.62,15.24,15.5
2024-04-07 00:08,41.07,43.22,49.09,53.78,33.91,41.96,47.09,53.9,17.96,17.06,15.6,14.02,20.44,17.32,15.16,15.43
2024-04-07 00:10,41.44,43.73,49.14,54.23,34.03,42.54,47.22,53.97,17.73,16.81,15.52,13.83,20.29,17.03,15.07,15.34
2024-04-07 00:12,42.08,44.38,49.66,54.26,34.27,43.23,47.58,54.33,17.63,16.75,15.51,14.18,20.28,16.92,15.05,15.35
2024-04-07 00:14,41.8,43.9,49.28,52.08,34.3,42.62,47.11,54.08,17.82,17.0,15.66,14.86,20.32,17.26,15.26,15.45
2024-04-07 00:16,41.11,43.17,48.9,51.98,34.08,41.75,46.73,53.74,18.07,17.26,15.68,14.61,20.41,17.62,15.28,15.46
2024-04-07 00:18,40.32,42.31,48.77,52.44,33.77,40.76,46.62,53.62,18.32,17.52,15.6,14.34,20.5,17.91,15.2,15.4
2024-04-07 00:20,39.65,41.63,48.7,52.94,33.45,40.03,46.57,53.51,18.53,17.68,15.52,14.09,20.59,18.12,15.12,15.34
2024-04-07 00:22,39.17,41.14,48.79,53.43,33.18,39.43,46.72,53.67,18.69,17.86,15.44,13.87,20.65,18.31,15.03,15.24
2024-04-07 00:24,38.9,40.82,49.45,54.67,33.02,39.1,47.26,54.17,18.83,18.01,15.4,13.88,20.78,18.47,15.0,15.2
2024-04-07 00:27,38.92,40.79,49.45,53.02,33.1,39.07,47.25,54.28,18.95,18.12,15.52,14.54,20.84,18.59,15.12,15.28
2024-04-07 00:29,39.03,41.05,48.89,51.02,33.02,39.52,46.62,53.84,18.82,17.91,15.69,15.14,20.9,18.28,15.29,15.43
2024-04-07 00:31,39.43,41.67,48.4,49.63,32.97,40.37,46.16,53.39,18.57,17.58,15.85,15.52,20.83,17.86,15.44,15.55
2024-04-07 00:33,39.93,42.26,47.96,49.65,33.13,41.17,45.83,53.02,18.28,17.3,15.88,15.27,20.67,17.49,15.45,15.59
2024-04-07 00:35,40.09,42.22,47.89,50.67,33.22,41.08,45.92,53.0,18.2,17.34,15.8,14.81,20.6,17.57,15.33,15.51
2024-04-07 00:37,39.98,42.02,47.93,51.47,33.1,40.81,46.05,53.05,18.12,17.26,15.72,14.46,20.54,17.5,15.21,15.41
2024-04-07 00:39,40.39,42.57,48.02,52.21,33.12,41.46,46.2,53.11,17.87,16.94,15.63,14.15,20.48,17.14,15.11,15.34
2024-04-07 00:41,41.01,43.29,48.25,52.95,33.3,42.33,46.53,53.33,17.63,16.7,15.5,13.91,20.36,16.84,14.96,15.23
2024-04-07 00:43,41.2,43.31,48.78,53.05,33.48,42.21,46.87,53.72,17.66,16.83,15.46,14.17,20.37,17.06,14.98,15.22
2024-04-07 00:45,40.97,42.94,48.64,51.26,33.54,41.63,46.58,53.65,17.88,17.09,15.65,14.85,20.4,17.38,15.2,15.36
2024-04-07 00:47,40.51,42.42,48.43,51.35,33.55,40.94,46.37,53.48,18.12,17.32,15.64,14.63,20.47,17.7,15.21,15.4
2024-04-07 00:49,40.03,41.98,48.43,51.87,33.39,40.36,46.33,53.39,18.29,17.48,15.6,14.42,20.53,17.92,15.2,15.4
