ts,humidity1,humidity2,humidity3,humidity4,humidity5,humidity6,humidity7,humidity8,temperature1,temperature2,temperature3,temperature4,temperature5,temperature6,temperature7,temperature8
2024-02-15 00:02,40.23,39.89,47.42,45.38,35.04,26.96,40.89,37.98,18.27,18.33,16.2,16.8,20.21,25.1,17.72,21.41
2024-02-15 00:04,41.8,41.33,51.25,48.95,36.39,27.88,45.15,41.13,18.47,18.6,16.39,16.93,20.3,25.1,17.81,21.73
2024-02-15 00:06,42.31,41.8,48.78,47.16,37.03,28.3,42.65,38.81,18.41,18.53,16.5,17.0,20.22,25.03,17.86,21.95
2024-02-15 00:08,41.72,41.18,47.42,45.86,36.55,28.0,41.49,37.63,18.33,18.43,16.5,17.0,20.19,25.0,17.77,21.9
2024-02-15 00:10,40.95,40.33,46.53,45.04,36.04,27.67,40.73,36.99,18.44,18.62,16.5,16.98,20.21,25.0,17.78,21.9
2024-02-15 00:12,39.9,39.2,46.0,44.57,35.43,27.34,40.13,36.48,18.71,18.92,16.44,16.9,20.3,25.0,17.8,21.91
2024-02-15 00:14,38.89,38.23,45.8,44.3,34.81,27.01,39.75,36.12,18.97,19.16,16.33,16.84,20.43,25.01,17.8,21.96
2024-02-15 00:16,38.23,37.68,45.77,44.31,34.34,26.83,39.58,35.96,19.15,19.28,16.3,16.8,20.57,25.02,17.8,21.98
2024-02-15 00:18,38.18,37.79,45.61,44.1,34.04,26.61,39.26,35.87,19.02,19.03,16.21,16.79,20.6,25.08,17.75,21.85
2024-02-15 00:20,38.22,37.85,45.47,43.83,33.94,26.52,39.19,35.92,18.95,18.97,16.2,16.75,20.55,25.1,17.7,21.7
2024-02-15 00:22,37.96,37.51,45.51,43.83,33.71,26.42,39.07,35.87,18.95,19.04,16.15,16.7,20.6,25.1,17.7,21.7
2024-02-15 00:24,38.23,37.82,46.17,44.35,33.73,26.33,39.69,36.23,18.77,18.83,16.1,16.71,20.52,25.1,17.62,21.7
2024-02-15 00:27,40.29,39.9,50.66,48.39,35.06,27.21,44.45,39.62,18.62,18.72,16.3,16.88,20.5,25.05,17.61,21.87
2024-02-15 00:29,41.52,41.02,50.37,48.4,36.25,28.05,44.29,39.3,18.72,18.87,16.63,17.12,20.52,25.07,17.8,22.17
2024-02-15 00:31,41.08,40.42,48.72,47.05,36.24,28.15,43.04,38.19,18.99,19.2,16.96,17.39,20.65,25.16,18.02,22.45
2024-02-15 00:33,40.0,39.38,46.25,44.98,35.63,27.8,40.98,36.59,19.25,19.43,17.18,17.57,20.78,25.25,18.2,22.66
2024-02-15 00:35,38.98,38.53,44.91,43.77,34.68,27.14,39.67,35.64,19.21,19.27,17.07,17.45,20.83,25.31,18.1,22.49
