ts,humidity1,humidity2,humidity3,humidity4,humidity5,humidity6,humidity7,humidity8,temperature1,temperature2,temperature3,temperature4,temperature5,temperature6,temperature7,temperature8
2024-03-19 00:02,50.0,48.56,50.17,57.98,30.43,32.42,33.58,50.01,16.3,16.67,16.67,14.2,24.03,23.07,22.19,18.0
2024-03-19 00:04,49.89,48.47,50.31,58.02,30.38,32.43,33.72,50.11,16.3,16.66,16.62,14.2,24.01,23.01,22.11,17.99
2024-03-19 00:06,49.94,48.53,50.17,57.85,30.48,32.53,33.62,50.03,16.24,16.6,16.65,14.2,24.0,23.0,22.14,18.0
2024-03-19 00:08,49.99,48.66,50.17,57.89,30.46,32.57,33.63,50.03,16.2,16.6,16.69,14.2,24.0,22.99,22.2,18.0
2024-03-19 00:10,49.99,48.62,50.06,57.93,30.5,32.55,33.65,49.99,16.2,16.6,16.7,14.2,23.97,22.94,22.13,18.0
2024-03-19 00:12,50.08,48.7,50.12,58.05,30.48,32.59,33.63,50.02,16.2,16.6,16.68,14.2,24.0,22.92,22.16,18.0
2024-03-19 00:14,50.09,48.71,50.12,58.02,30.45,32.63,33.49,50.0,16.2,16.6,16.62,14.2,24.0,22.9,22.21,18.0
2024-03-19 00:16,50.09,48.69,50.12,58.07,30.47,32.53,33.49,50.02,16.2,16.56,16.61,14.2,23.98,22.93,22.2,18.0
2024-03-19 00:18,50.08,48.65,50.13,58.01,30.46,32.48,33.39,50.0,16.19,16.57,16.6,14.2,23.94,22.93,22.26,17.96
2024-03-19 00:20,50.05,48.63,50.16,58.03,30.43,32.5,33.42,50.04,16.15,16.51,16.6,14.13,23.91,22.9,22.2,17.9
2024-03-19 00:22,50.83,49.47,50.2,58.06,31.0,33.07,33.5,50.05,16.29,16.62,16.61,14.16,23.97,22.9,22.2,17.93
2024-03-19 00:24,50.03,48.9,50.3,58.28,31.11,33.4,33.65,50.22,16.62,16.92,16.7,14.2,24.0,22.84,22.2,17.98
2024-03-19 00:27,49.05,47.99,50.09,58.26,30.67,32.86,33.63,50.21,16.7,16.98,16.7,14.2,24.02,22.93,22.2,17.94
2024-03-19 00:29,48.81,47.74,49.97,58.09,30.42,32.5,33.58,50.13,16.67,16.92,16.7,14.19,24.02,23.0,22.14,17.9
2024-03-19 00:31,48.88,47.72,49.87,58.02,30.38,32.35,33.57,50.08,16.56,16.88,16.7,14.14,24.0,23.07,22.08,17.9
2024-03-19 00:33,48.92,47.71,49.79,57.99,30.28,32.27,33.61,50.06,16.48,16.8,16.7,14.1,24.0,23.0,22.0,17.88
2024-03-19 00:35,49.13,47.82,49.87,57.97,30.24,32.24,33.59,50.13,16.4,16.78,16.7,14.1,24.0,23.02,22.04,17.82
2024-03-19 00:37,49.28,47.88,49.75,57.9,30.19,32.18,33.68,50.13,16.33,16.7,16.67,14.1,24.0,23.0,22.0,17.8
2024-03-19 00:39,49.35,47.92,49.7,57.79,30.13,32.1,33.51,50.0,16.28,16.7,16.62,14.13,24.0,23.0,22.0,17.84
2024-03-19 00:41,48.98,47.67,49.65,57.77,30.11,32.2,33.52,49.87,16.43,16.8,16.67,14.12,23.99,22.93,22.01,17.9
2024-03-19 00:43,48.47,47.22,49.48,57.53,30.07,32.08,33.38,49.71,16.5,16.89,16.68,14.11,23.99,22.97,22.04,17.9
2024-03-19 00:45,48.47,47.23,49.57,57.54,30.08,32.06,33.38,49.67,16.5,16.85,16.69,14.2,23.95,23.0,22.02,17.9
2024-03-19 00:47,48.63,47.39,49.49,57.36,30.09,32.09,33.49,49.61,16.45,16.8,16.7,14.2,23.93,22.98,21.95,17.9
2024-03-19 00:49,48.72,47.42,49.42,57.25,30.08,32.07,33.68,49.64,16.38,16.76,16.63,14.17,23.98,22.93,21.8,17.9
2024-03-19 00:52,48.84,47.44,49.37,57.38,29.95,32.02,33.72,49.62,16.3,16.7,16.6,14.1,23.95,22.91,21.74,17.85
2024-03-19 00:54,49.11,47.64,49.36,57.44,30.03,32.04,34.01,49.72,16.21,16.61,16.6,14.1,23.9,22.9,21.57,17.77
2024-03-19 00:56,49.62,48.29,49.62,57.72,30.53,32.65,34.0,49.96,16.4,16.74,16.6,14.09,23.93,22.81,21.65,17.78
2024-03-19 00:58,48.74,47.61,49.71,57.86,30.47,32.84,33.87,50.0,16.71,17.02,16.62,14.09,24.0,22.8,21.83,17.8
2024-03-19 01:00,48.03,46.92,49.66,57.88,30.13,32.39,33.73,50.02,16.76,17.06,16.6,14.08,24.0,22.88,21.86,17.8
2024-03-19 01:02,48.01,46.85,49.58,57.79,30.03,32.21,33.81,50.0,16.67,16.99,16.6,14.01,24.0,22.9,21.78,17.78
2024-03-19 01:04,48.26,47.03,49.65,57.92,30.04,32.16,33.8,50.02,16.55,16.9,16.59,14.0,23.97,22.9,21.79,17.74
2024-03-19 01:06,48.45,47.08,49.62,57.72,29.95,32.08,33.9,49.98,16.44,16.81,16.5,14.0,23.98,22.9,21.63,17.7
2024-03-19 01:08,48.65,47.21,49.64,57.73,29.95,32.05,34.07,50.0,16.34,16.72,16.5,14.01,23.92,22.89,21.53,17.7
2024-03-19 01:10,48.55,47.18,49.63,57.59,30.04,32.17,33.97,49.93,16.46,16.82,16.5,14.02,23.93,22.81,21.62,17.7
2024-03-19 01:12,48.13,46.78,49.73,57.63,29.98,32.28,33.92,50.01,16.6,16.92,16.5,14.0,23.95,22.78,21.67,17.7
2024-03-19 01:14,48.12,46.84,49.75,57.71,29.97,32.27,33.93,50.01,16.55,16.9,16.5,14.0,23.9,22.77,21.63,17.7
2024-03-19 01:17,48.28,47.0,49.81,57.69,29.95,32.26,33.92,50.04,16.46,16.82,16.49,14.0,23.9,22.8,21.63,17.7
2024-03-19 01:19,48.54,47.15,49.82,57.68,29.99,32.18,33.9,50.05,16.35,16.75,16.4,14.0,23.9,22.8,21.66,17.69
2024-03-19 01:21,48.66,47.17,49.81,57.66,29.98,32.18,33.93,50.04,16.3,16.7,16.47,14.0,23.9,22.8,21.6,17.69
2024-03-19 01:23,48.89,47.34,49.8,57.62,30.04,32.22,33.93,50.0,16.23,16.69,16.45,14.0,23.88,22.79,21.6,17.69
2024-03-19 01:25,49.3,47.84,49.92,57.69,30.33,32.54,33.89,50.05,16.34,16.73,16.4,14.0,23.89,22.72,21.71,17.7
2024-03-19 01:27,48.61,47.36,50.03,57.89,30.35,32.77,33.79,50.18,16.67,16.99,16.44,14.0,23.96,22.7,21.8,17.7
2024-03-19 01:29,47.6,46.57,49.93,57.68,30.05,32.41,33.75,50.2,16.8,17.1,16.5,14.05,24.0,22.8,21.81,17.7
2024-03-19 01:31,47.64,46.53,49.84,57.65,29.99,32.18,33.65,50.15,16.77,17.06,16.5,14.07,24.0,22.9,21.8,17.7
2024-03-19 01:33,47.83,46.66,49.78,57.62,29.92,32.03,33.68,50.11,16.64,16.96,16.48,14.01,24.0,22.9,21.8,17.68
2024-03-19 01:35,48.11,46.82,49.79,57.63,29.85,31.97,33.6,50.13,16.48,16.84,16.48,14.0,24.0,22.9,21.8,17.63
2024-03-19 01:37,48.35,47.01,49.73,57.65,29.87,32.0,33.61,50.08,16.47,16.83,16.47,14.0,24.0,22.89,21.8,17.64
2024-03-19 01:39,47.77,46.47,49.63,57.45,29.83,32.02,33.53,49.94,16.61,16.98,16.5,14.0,24.0,22.89,21.8,17.7
2024-03-19 01:42,47.8,46.54,49.57,57.47,29.8,31.97,33.64,49.92,16.57,16.9,16.5,13.98,23.99,22.9,21.7,17.66
2024-03-19 01:44,48.04,46.7,49.62,57.62,29.87,31.96,33.83,50.12,16.5,16.87,16.49,13.99,23.9,22.9,21.63,17.6
2024-03-19 01:46,48.38,46.97,49.79,57.82,29.95,32.08,33.76,50.28,16.41,16.8,16.4,13.91,23.9,22.82,21.72,17.6
2024-03-19 01:48,49.22,47.75,50.75,60.3,30.24,32.29,34.03,50.74,16.31,16.7,16.4,13.95,23.87,22.8,21.67,17.58
2024-03-19 01:50,52.28,50.77,53.58,63.56,31.75,33.67,35.75,52.78,16.34,16.73,16.44,14.42,23.9,22.8,21.44,17.54
2024-03-19 01:52,52.72,51.52,53.74,61.97,32.58,34.74,36.61,53.57,16.73,17.06,16.6,14.93,24.03,22.83,21.3,17.6
2024-03-19 01:54,51.29,50.4,53.45,59.84,32.39,34.75,36.87,53.72,17.2,17.46,16.76,15.42,24.17,22.93,21.3,17.65
2024-03-19 01:56,49.59,48.8,51.73,56.71,31.75,34.16,36.44,52.82,17.3,17.53,16.9,15.43,24.2,23.0,21.34,17.7
2024-03-19 01:58,48.65,47.76,50.67,56.35,31.04,33.33,35.72,51.82,17.16,17.41,16.87,15.08,24.2,23.0,21.38,17.7
2024-03-19 02:00,48.32,47.28,50.04,56.13,30.57,32.84,35.31,51.17,16.98,17.27,16.84,14.89,24.19,23.0,21.39,17.7
2024-03-19 02:02,48.31,47.08,49.66,56.18,30.32,32.57,34.96,50.78,16.79,17.15,16.8,14.67,24.1,23.0,21.41,17.7
2024-03-19 02:04,48.42,46.99,49.52,56.36,30.21,32.42,34.8,50.57,16.63,17.04,16.77,14.55,24.07,22.93,21.42,17.7
2024-03-19 02:07,48.52,47.09,49.41,56.48,30.21,32.45,34.58,50.34,16.61,17.02,16.7,14.4,24.02,22.86,21.47,17.7
2024-03-19 02:09,47.87,46.42,49.42,56.66,29.92,32.26,34.28,50.32,16.71,17.13,16.7,14.35,24.1,22.88,21.59,17.7
2024-03-19 02:11,47.82,46.38,49.29,56.56,29.86,32.12,34.08,50.14,16.65,17.06,16.68,14.29,24.0,22.87,21.65,17.7
2024-03-19 02:13,47.86,46.43,49.24,56.58,29.81,32.08,33.94,49.93,16.56,16.95,16.6,14.2,23.96,22.83,21.6,17.7
2024-03-19 02:15,47.97,46.55,49.18,56.63,29.75,31.93,33.88,49.85,16.43,16.84,16.58,14.1,23.91,22.8,21.59,17.69
2024-03-19 02:17,48.44,46.88,49.28,56.83,29.88,31.98,33.93,49.92,16.38,16.8,16.53,14.1,23.9,22.8,21.57,17.63
2024-03-19 02:19,48.17,46.78,49.34,56.87,30.01,32.21,33.79,49.93,16.62,16.97,16.57,14.1,23.97,22.83,21.67,17.65
2024-03-19 02:21,47.16,45.92,49.19,56.85,29.77,32.05,33.69,49.86,16.88,17.2,16.6,14.1,24.01,22.89,21.7,17.7
2024-03-19 02:23,46.91,45.65,49.07,56.75,29.67,31.87,33.67,49.75,16.86,17.19,16.6,14.07,24.0,22.9,21.67,17.67
2024-03-19 02:25,46.96,45.68,49.03,56.73,29.55,31.72,33.67,49.73,16.77,17.1,16.53,14.0,24.0,22.9,21.59,17.6
2024-03-19 02:27,47.16,45.8,49.03,56.69,29.45,31.62,33.65,49.68,16.61,16.98,16.47,13.99,24.0,22.9,21.57,17.6
2024-03-19 02:29,47.46,45.98,49.21,56.82,29.43,31.6,33.77,49.76,16.46,16.88,16.4,13.94,23.94,22.88,21.46,17.56
2024-03-19 02:32,47.88,46.46,49.65,57.07,29.66,31.81,34.07,50.16,16.46,16.83,16.41,14.0,23.96,22.82,21.51,17.59
2024-03-19 02:34,47.34,46.02,49.59,56.92,29.58,31.87,33.87,50.12,16.68,17.02,16.49,14.1,24.0,22.8,21.65,17.6
2024-03-19 02:36,47.27,45.98,49.44,56.75,29.54,31.83,33.57,49.99,16.7,17.0,16.5,14.11,24.0,22.89,21.83,17.62
2024-03-19 02:38,47.38,46.12,49.27,56.47,29.53,31.82,33.23,49.75,16.61,16.93,16.58,14.2,24.0,22.83,21.97,17.72
