ts,humidity1,humidity2,humidity3,humidity4,humidity5,humidity6,humidity7,humidity8,temperature1,temperature2,temperature3,temperature4,temperature5,temperature6,temperature7,temperature8
2024-04-02 00:02:02,43.16,42.69,47.04,54.52,31.00,39.21,43.26,49.28,18.09,18.17,17.00,14.50,22.76,19.22,16.97,17.50
2024-04-02 00:04:07,42.82,42.37,47.01,54.42,30.96,38.96,43.37,49.30,18.25,18.31,16.92,14.50,22.86,19.33,16.88,17.43
2024-04-02 00:06:12,42.53,42.10,47.05,54.40,30.94,38.69,43.50,49.37,18.35,18.45,16.90,14.50,22.90,19.46,16.80,17.40
2024-04-02 00:08:17,42.97,42.33,47.17,54.59,30.88,38.40,43.68,49.51,18.00,18.18,16.86,14.40,22.83,19.51,16.77,17.33
2024-04-02 00:10:22,44.27,43.34,47.32,54.86,31.15,38.51,43.83,49.68,17.43,17.69,16.80,14.35,22.63,19.38,16.76,17.30
2024-04-02 00:12:27,45.55,44.32,47.42,54.96,31.33,38.98,43.90,49.76,16.95,17.34,16.80,14.33,22.47,19.17,16.71,17.30
2024-04-02 00:14:32,45.48,44.24,47.42,54.82,31.33,39.32,43.93,49.78,17.07,17.47,16.80,14.38,22.49,19.03,16.70,17.30
2024-04-02 00:16:37,45.18,43.83,47.37,54.73,31.18,39.12,43.86,49.80,17.02,17.44,16.78,14.38,22.46,18.99,16.70,17.23
2024-04-02 00:18:42,45.96,44.58,47.38,54.78,31.31,39.24,43.82,49.83,16.64,17.03,16.70,14.30,22.29,18.85,16.70,17.21
2024-04-02 00:20:47,47.30,45.80,47.48,54.90,31.77,40.06,44.07,49.95,16.34,16.75,16.70,14.30,22.14,18.65,16.59,17.15
2024-04-02 00:22:52,46.70,45.36,47.57,54.96,31.80,40.42,44.27,50.13,16.65,17.04,16.70,14.30,22.19,18.52,16.50,17.10
2024-04-02 00:24:57,45.58,44.46,47.53,54.90,31.56,40.16,44.28,50.21,17.03,17.35,16.70,14.30,22.28,18.62,16.50,17.07
2024-04-02 00:27:02,44.58,43.73,47.51,54.96,31.34,39.82,44.35,50.28,17.39,17.59,16.66,14.27,22.37,18.75,16.48,17.00
2024-04-02 00:29:07,43.78,43.15,47.42,54.84,31.20,39.42,44.45,50.30,17.67,17.78,16.60,14.20,22.49,18.88,16.35,16.95
2024-04-02 00:31:12,43.14,42.57,47.28,54.73,30.99,39.07,44.50,50.32,17.87,17.97,16.60,14.20,22.51,19.00,16.30,16.88
2024-04-02 00:33:17,42.64,42.12,47.25,54.83,31.01,38.83,44.68,50.54,18.06,18.16,16.60,14.19,22.57,19.12,16.23,16.80
2024-04-02 00:35:22,42.18,41.71,47.22,54.90,30.97,38.59,44.83,50.73,18.25,18.33,16.61,14.14,22.57,19.23,16.16,16.71
2024-04-02 00:37:27,41.78,41.31,47.18,54.87,30.93,38.39,44.92,50.85,18.42,18.51,16.60,14.10,22.60,19.32,16.11,16.63
2024-04-02 00:39:32,41.73,41.11,47.23,54.66,30.82,37.88,44.17,50.78,18.29,18.46,16.61,14.23,22.61,19.51,16.50,16.71
2024-04-02 00:41:37,42.89,42.12,47.16,54.32,30.97,37.50,42.96,50.48,17.77,17.99,16.70,14.32,22.52,19.67,17.03,16.87
2024-04-02 00:43:42,43.98,42.94,47.07,54.19,31.08,37.37,41.83,50.17,17.29,17.62,16.72,14.41,22.39,19.70,17.47,17.02
2024-04-02 00:45:47,45.36,43.99,47.08,54.02,31.38,37.49,41.08,49.96,16.85,17.28,16.80,14.51,22.28,19.67,17.82,17.11
2024-04-02 00:47:52,45.28,43.92,47.08,53.91,31.55,38.15,40.17,49.75,17.07,17.51,16.82,14.58,22.34,19.46,18.25,17.23
2024-04-02 00:49:57,44.95,43.56,46.93,53.88,31.44,38.08,39.10,49.53,17.11,17.56,16.90,14.60,22.38,19.47,18.70,17.33
2024-04-02 00:52:02,45.52,44.13,46.87,53.68,31.53,38.03,38.58,49.37,16.87,17.30,16.92,14.68,22.27,19.50,18.90,17.43
2024-04-02 00:54:07,46.43,44.85,46.91,53.58,31.73,38.09,38.58,49.24,16.53,17.03,17.00,14.78,22.15,19.50,18.90,17.51
2024-04-02 00:56:12,47.55,45.78,46.89,53.51,32.15,38.45,38.58,49.13,16.32,16.83,17.00,14.80,22.03,19.44,18.92,17.60
2024-04-02 00:58:17,47.01,45.45,46.90,53.45,32.31,39.10,38.32,49.05,16.67,17.14,17.07,14.90,22.08,19.22,19.11,17.67
